名称,最低价格,最高价格,图片地址
宝来,9.88,15.60,http://img2.bitautoimg.com/autoalbum/files/20190102/242/0319542422_6.png
朗逸,9.99,16.19,http://img4.bitautoimg.com/autoalbum/files/20191203/135/0340111354_6.jpg
桑塔纳,8.69,11.59,http://img4.bitautoimg.com/autoalbum/files/20190102/343/0954043434_6.png
速腾,12.89,19.19,http://img2.bitautoimg.com/autoalbum/files/20190122/561/1056225614_6.png
迈腾,18.61,30.99,http://img1.bitautoimg.com/autoalbum/files/20191218/868/1119248681_6.jpg
探岳,18.59,31.39,http://img2.bitautoimg.com/autoalbum/files/20191203/330/0341563309_6.jpg
凌渡,14.29,19.69,http://img1.bitautoimg.com/autoalbum/files/20190102/771/0331377716_6.png
高尔夫,14.13,23.42,http://img2.bitautoimg.com/autoalbum/files/20180802/560/0312155601_6.jpg
途岳,16.58,22.38,http://img2.bitautoimg.com/autoalbum/files/20190114/700/0426047002_6.png
帕萨特,18.49,28.29,http://img1.bitautoimg.com/autoalbum/files/20190122/686/0929086865_6.png
途观L,21.88,31.18,http://img4.bitautoimg.com/autoalbum/files/20190104/175/0310091757_6.png
途昂,29.99,50.59,http://img3.bitautoimg.com/autoalbum/files/20190102/298/0407052987_6.png
途铠,11.49,15.99,http://img2.bitautoimg.com/autoalbum/files/20190314/804/0324388049_6.png
探歌,13.58,20.38,http://img4.bitautoimg.com/autoalbum/files/20190102/642/1013046423_6.png
一汽-大众CC,24.68,30.18,http://img1.bitautoimg.com/autoalbum/files/20190102/268/0322402685_6.png
探影,11.49,15.99,http://img1.bitautoimg.com/autoalbum/files/20191028/545/1021325456_6.jpg
途观,19.48,23.18,http://img1.bitautoimg.com/autoalbum/files/20181213/999/0143029995_6.jpg
Polo,9.99,12.39,http://img1.bitautoimg.com/autoalbum/files/20190624/639/0943156395_6.jpg
探岳X,23.58,29.58,http://img1.bitautoimg.com/autoalbum/files/20200619/889/0415468894_6.jpg
辉昂,34.00,63.90,http://img2.bitautoimg.com/autoalbum/files/20190102/382/0958523823_6.png
途昂X,28.99,43.99,http://img1.bitautoimg.com/autoalbum/files/20190416/056/1215330566_6.jpg
途锐,56.98,82.18,http://img3.bitautoimg.com/autoalbum/files/20180911/623/0542406239_6.png
威然,28.68,39.98,http://img2.bitautoimg.com/autoalbum/files/20200417/884/0409028847_6.jpg
途安L,15.18,19.48,http://img2.bitautoimg.com/autoalbum/files/20190102/868/0957468688_6.png
蔚领,12.59,14.97,http://img3.bitautoimg.com/autoalbum/files/20181015/661/0702536610_6.png
甲壳虫,17.88,25.58,http://img2.bitautoimg.com/autoalbum/files/20180802/414/1155234146_6.png
高尔夫·嘉旅,12.88,19.28,http://img3.bitautoimg.com/autoalbum/files/20190114/038/0417080388_6.png
高尔夫(进口),20.98,37.28,http://img3.bitautoimg.com/autoalbum/files/20190322/481/0305294819_6.png
Tiguan,23.98,35.08,http://img1.bitautoimg.com/autoalbum/files/20180802/160/0459231608_6.png
途观L 插电混动,26.58,32.58,http://img4.bitautoimg.com/autoalbum/files/20180927/073/0409530731_6.png
帕萨特 插电混动,24.39,25.39,http://img3.bitautoimg.com/autoalbum/files/20190122/077/0932250776_6.png
探岳GTE 插电混动,24.98,25.98,http://img3.bitautoimg.com/autoalbum/files/20200414/529/0201435292_6.jpg
朗逸纯电,,,http://img2.bitautoimg.com/autoalbum/files/20190326/692/0551096920_6.png
蔚揽,24.38,39.28,http://img2.bitautoimg.com/autoalbum/files/20181010/893/0543208937_6.png
迈腾GTE 插电混动,25.39,26.89,http://img2.bitautoimg.com/autoalbum/files/20200102/851/0312518518_6.jpg
迈特威,42.80,50.68,http://img1.bitautoimg.com/autoalbum/files/20190305/656/0517366561_6.png
夏朗,24.68,34.38,http://img1.bitautoimg.com/autoalbum/files/20180802/637/1155526374_6.png
宝来·纯电,13.68,14.68,http://img4.bitautoimg.com/autoalbum/files/20190322/458/0327234589_6.png
凯路威,35.50,38.20,http://img2.bitautoimg.com/autoalbum/files/20180810/466/1203504668_6.png
高尔夫·纯电,14.77,16.88,http://img2.bitautoimg.com/autoalbum/files/20190322/261/0301332617_6.png
蔚揽 插电混动,,,http://img1.bitautoimg.com/autoalbum/files/20181218/969/1159409695_6.png
高尔夫 纯电动(进口),,,http://img2.bitautoimg.com/autoalbum/files/20200415/621/0223256216_6.jpg
途锐 插电混动,,,http://img4.bitautoimg.com/autoalbum/files/20190528/026/0617560266_6.jpg
Polo(海外),,,http://img4.bitautoimg.com/autoalbum/files/20190624/498/0943064989_6.jpg
