客户ID,产品名称
11000,旅行自行车
11000,挡泥板
11000,骑行服
11000,头盔
11000,山地自行车
11000,车胎和内胎
11000,车胎和内胎
11000,山地自行车
11001,山地自行车
11001,公路自行车
11001,水壶和水壶架
11001,水壶和水壶架
11001,水壶和水壶架
11001,水壶和水壶架
11001,山地自行车
11001,挡泥板
11001,帽子
11001,骑行服
11001,头盔
11002,山地自行车
11002,旅行自行车
11002,头盔
11002,山地自行车
11003,旅行自行车
11003,帽子
11003,山地自行车
11003,水壶和水壶架
11003,水壶和水壶架
11003,车胎和内胎
11003,车胎和内胎
11003,车胎和内胎
11003,山地自行车
11004,山地自行车
11004,山地自行车
11004,旅行自行车
11004,挡泥板
11004,头盔
11004,头盔
11005,山地自行车
11005,旅行自行车
11005,山地自行车
11005,车胎和内胎
11005,车胎和内胎
11005,车胎和内胎
11006,山地自行车
11006,山地自行车
11006,水壶和水壶架
11006,水壶和水壶架
11006,旅行自行车
11007,山地自行车
11007,挡泥板
11007,头盔
11007,山地自行车
11007,车胎和内胎
11007,车胎和内胎
11007,旅行自行车
11007,头盔
11008,旅行自行车
11008,头盔
11008,山地自行车
11008,水壶和水壶架
11008,水壶和水壶架
11008,车胎和内胎
11008,山地自行车
11009,山地自行车
11009,旅行自行车
11009,头盔
11009,山地自行车
11009,车胎和内胎
11010,山地自行车
11010,旅行自行车
11010,帽子
11010,山地自行车
11011,山地自行车
11011,山地自行车
11011,旅行自行车
11011,骑行服
11012,头盔
11012,车胎和内胎
11012,车胎和内胎
11012,车胎和内胎
11012,车胎和内胎
11013,头盔
11013,车胎和内胎
11013,头盔
11013,车胎和内胎
11013,车胎和内胎
11014,头盔
11014,车胎和内胎
11014,头盔
11014,手套
11014,车胎和内胎
11014,车胎和内胎
11015,自行车支架
11015,挡泥板
11015,山地自行车
11016,车胎和内胎
11016,车胎和内胎
11016,山地自行车
11017,旅行自行车
11017,山地自行车
11017,山地自行车
11017,挡泥板
11018,山地自行车
11018,旅行自行车
11018,头盔
11018,水壶和水壶架
11018,水壶和水壶架
11018,山地自行车
11018,挡泥板
11019,头盔
11019,袜子
11019,袜子
11019,短裤
11019,骑行服
11019,挂架
11019,挂架
11019,手套
11019,手套
11019,骑行服
11019,骑行服
11019,头盔
11019,头盔
11019,水壶和水壶架
11019,车胎和内胎
11019,车胎和内胎
11019,车胎和内胎
11019,车胎和内胎
11019,车胎和内胎
11019,车胎和内胎
11019,车胎和内胎
11019,车胎和内胎
11019,车胎和内胎
11019,车胎和内胎
11019,车胎和内胎
11019,车胎和内胎
11019,车胎和内胎
11019,车胎和内胎
11019,车胎和内胎
11019,车胎和内胎
11019,车胎和内胎
11019,车胎和内胎
11019,车胎和内胎
11020,山地自行车
11020,挡泥板
11021,水袋背包
11021,山地自行车
11021,挡泥板
